DATE,A792RC0A052NBEA
2001-01-01,31599.0
2002-01-01,31814.0
2003-01-01,32683.0
2004-01-01,34250.0
2005-01-01,35828.0
2006-01-01,38099.0
2007-01-01,39846.0
2008-01-01,40971.0
2009-01-01,39319.0
2010-01-01,40657.0
2011-01-01,42753.0
2012-01-01,44602.0
2013-01-01,44866.0
2014-01-01,47003.0
2015-01-01,48876.0
2016-01-01,49807.0
2017-01-01,51812.0
2018-01-01,54155.0
2019-01-01,56082.0
2020-01-01,59450.0
